chr16	89919342
chr16	89919683
chr16	89919746
chr16	89919736
chr16	89919436
chr16	89919510
chr16	89919709
chr16	89920138
chr16	89919714
chr16	89919532
chr16	89919722
chr5	33958854
chr5	33951588
chr12	88934558
chr6	457748
chr6	396321
chr11	89178528
chr15	27985172
chr14	92334859
chr15	28120472
chr20	34630286
chr14	92307319
chr11	89277878
chr9	12709305
chr15	48134287
chr16	89317317
chr20	34197406
chr9	16858086
chr16	89957798
chr15	28208069
chr15	28251049
chr15	28111713
chr15	28285036
chr15	27951891
chr15	28042975
chr15	27942626
chr15	28026629
chr20	34077942
chr14	92416482
chr16	89917970
chr11	89284793
