chr11	88911696
chr11	89011046
chr11	89017961
chr12	89328335
chr14	92773663
chr14	92801203
chr14	92882826
chr15	28187772
chr15	28197037
chr15	28230318
chr15	28271775
chr15	28288121
chr15	28356859
chr15	28365618
chr15	28453215
chr15	28496195
chr15	28530182
chr15	48426484
chr16	89383725
chr16	89984378
chr16	89985750
chr16	89985844
chr16	89985918
chr16	89985940
chr16	89986091
chr16	89986117
chr16	89986122
chr16	89986130
chr16	89986144
chr16	89986154
chr16	89986546
chr16	90024206
chr20	32665748
chr20	32785212
chr20	33218090
chr5	33951693
chr5	33958959
chr6	396321
chr6	457748
chr9	12709305
chr9	16858084
